standras_t,X,Y,SDI260_FL18,SDI260_FL19,SDI260_FL20,SDI260_FL21,SDI260_FL22,SDI260_FL23,SDI260_FL24,SDI260_FL25,SDI260_FL26,SDI260_FL27,SDI260_FL28,SDI260_FL29,SDI260_FL30,SDI260_FL31,SDI260_FL32,SDI260_FL33,SDI260_FL34,SDI260_FL35,SDI260_FL36,SDI260_FL37,SDI260_FL38,SDI260_FL39,SDI260_FL40,SDI260_FL41,SDI260_FL42,SDI260_FL43,SDI260_FL44,SDI260_FL45,SDI260_FL46,SDI260_FL47,SDI260_FL48,SDI260_FL49,SDI260_FL50,Pri_FL18,Pri_FL19,Pri_FL20,Pri_FL21,Pri_FL22,Pri_FL23,Pri_FL24,Pri_FL25,Pri_FL26,Pri_FL27,Pri_FL28,Pri_FL29,Pri_FL30,Pri_FL31,Pri_FL32,Pri_FL33,Pri_FL34,Pri_FL35,Pri_FL36,Pri_FL37,Pri_FL38,Pri_FL39,Pri_FL40,Pri_FL41,Pri_FL42,Pri_FL43,Pri_FL44,Pri_FL45,Pri_FL46,Pri_FL47,Pri_FL48,Pri_FL49,Pri_FL50,Average_SDI260,Average_Pri
22,70389.52722220000,-99381.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.22222208977,3.73333406448,4.07143020630,3.36363601685,3.95238018036,3.50000000000,3.53333377838,3.85714197159,3.73684191704,3.66666579247,3.71428608894,3.35294198990,4.00000000000,3.66666579247,3.61538410187,3.22222208977,3.62500000000,3.22222208977,3.00000000000,3.53846192360,3.18750000000,3.34999990463,5.11764812469,3.00000000000,4.85714387894,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.16000008583,3.14285802841,3.00000000000,3.11111211777,3.00000000000,4.29411792755,4.64705801010,4.33333396912,4.53846216202,4.00000000000,4.26315784454,4.38461589813,4.20000028610,4.61904811859,4.64705801010,4.40000009537,4.11111211777,4.59999990463,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.48807460612,3.55914953261
37,69909.52722220000,-99681.00000000000,3.81818199158,4.06250000000,4.12500000000,4.20000028610,3.85185194016,4.34782600403,4.09523773193,4.38461589813,4.40000009537,4.10526371002,3.82758593559,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.25000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.91891813278,3.84444379807,3.96969580650,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,4.50000000000,3.97297191620,4.31250000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,2.36973094940,2.08440823988
47,66699.52722220000,-96981.00000000000,2.50000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.57142806053,1.00000000000,1.00000000000,4.00000000000,5.44444417953,7.36363601685,1.33333396912,1.39999997616,1.44444406033,1.00000000000,3.22222208977,4.00000000000,3.00000000000,4.11111211777,3.50000000000,3.00000000000,4.33333396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.50000000000,3.50000000000,3.75000000000,3.00000000000,4.64705991745,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,4.00000000000,4.59999990463,5.69565200806,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,2.79999995232,3.00000000000,3.00000000000,3.93333387375,3.00000000000,3.00000000000,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.01881861687,2.51602987087
30,70269.52722220000,-97221.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.66666603088,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.59999990463,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.56250000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.79999971390,4.75999975204,4.41176414490,4.08108186722,4.59999990463,4.51999998093,4.33333396912,4.36363601685,4.40000009537,3.00000000000,3.41379404068,4.14285802841,3.90322589874,3.87500000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.14633836168,3.50317252766
22,70209.52722220000,-99921.00000000000,3.00000000000,3.09755992889,3.00000000000,3.83077025414,3.50746202469,3.96153807640,3.80952382088,3.09090995789,3.94117593765,3.80000019073,3.75675606728,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.10810804367,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.29268193245,3.12765979767,4.84210634232,3.00000000000,4.53571414948,3.00000000000,3.00000000000,3.00000000000,3.07999992371,3.05555605888,3.30303001404,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.63157820702,4.53846216202,3.93333387375,4.25000000000,4.28571414948,4.29411792755,4.46666622162,3.66666579247,3.81818199158,4.71428585052,4.59999990463,4.59999990463,4.75000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.25000000000,3.00000000000,3.00000000000,3.00000000000,3.29399898558,3.52235127218
30,70149.52722220000,-96981.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.75000000000,3.00000000000,3.00000000000,3.00000000000,3.22222208977,4.54545402527,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.72549009323,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.94285774231,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.76470613480,4.82608604431,4.00000000000,4.25926017761,4.88235187531,5.00000000000,4.61904811859,4.15789413452,4.14285802841,5.00000000000,3.26086997986,3.59999990463,3.63999986649,3.71428608894,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.15715224093,3.54143516223
22,70239.52722220000,-100131.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.92592597008,3.00000000000,2.91666603088,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,3.00000000000,5.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.90909004211,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.77777814865,3.75000000000,3.61538410187,3.61538410187,4.00000000000,3.46153807640,3.93333387375,3.93333387375,4.04762029648,4.25000000000,4.23809623718,4.36000013351,4.29999971390,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.11644218185,3.36944116968
56,69219.52722220000,-101151.00000000000,3.80000019073,3.31999993324,3.33333396912,3.42857193947,3.55555605888,3.53846192360,3.15384578705,3.77777814865,3.43750000000,3.40000009537,3.76922988892,3.19999980927,3.07142806053,3.07999992371,3.25000000000,3.25806403160,3.40000009537,3.37036991119,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.07407379150,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.50000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.14285802841,3.00000000000,3.22222208977,3.30769181252,3.21873374419,3.09614460396
108,73719.52722220000,-99201.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.25000000000,3.00000000000,3.00000000000,3.00000000000,3.19999980927,3.11764812469,5.00000000000,5.13333415985,5.11111211777,5.16666603088,5.00000000000,3.22222208977,3.00000000000,3.40000009537,3.00000000000,3.00000000000,4.20000028610,5.00000000000,5.16666603088,5.00000000000,5.00000000000,5.00000000000,5.19999980927,3.33333396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.18181800842,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.77275704615,2.94490357601
22,70689.52722220000,-99801.00000000000,3.22222208977,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.88888788223,4.14285802841,4.36842203140,3.75000000000,3.59999990463,4.09090995789,4.00000000000,4.00000000000,3.19999980927,4.16666603088,3.36363601685,4.12500000000,3.90000009537,3.40000009537,3.54545402527,4.09090995789,3.33333396912,4.59999990463,3.00000000000,3.88000011444,4.22580623627,4.39393997192,6.00000000000,3.00000000000,5.00000476837,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.54545402527,3.58823585510,3.44444394112,3.70588207245,3.72727179527,5.09999990463,5.26666593552,5.00000000000,4.84615373611,4.86666584015,5.11111164093,4.73333406448,4.76470613480,4.76470613480,5.33333396912,4.91666603088,5.08695793152,5.31579017639,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.73600154212,3.82173876329
