MarxanID,NT_HVRA_Loss,Treated_HVRA_Loss
1043,0.6,0.4
1044,0.4,0.4
1045,0.4,0.4
1046,0.2,0.2
1047,0.2,0.2
1048,0.6,0.4
1049,0.4,0.4
1050,0.2,0.2
1051,0.6,0.4
1052,0.6,0.4
1053,0.6,0.4
1054,0.6,0.4
1055,0.6,0.4
1056,0.6,0.4
1057,0.6,0.4
1058,0.6,0.4
1059,0.2,0.2
1060,0.2,0.2
1061,0.2,0.2
1062,0.2,0.2
1063,0.2,0.2
1064,0.6,0.4
1066,0.6,0.4
1068,0.2,0.2
1072,0.2,0.2
1073,0.4,0.4
1074,0.4,0.4
1075,0.6,0.4
1076,0.4,0.4
1077,0.2,0.2
1078,0.2,0.2
1079,0.2,0.2
1080,0.2,0.2
1082,0.2,0.2
1083,0.9,0.9
1084,0.2,0.2
1085,0.2,0.2
1086,0.2,0.2
1088,0.2,0.2
1089,0.2,0.2
1090,0.9,0.9
1097,0.2,0.2
1098,0.2,0.2
1099,0.2,0.2
1100,0.2,0.2
1101,0.2,0.2
1102,0.2,0.2
1103,0.2,0.2
1104,0.2,0.2
1105,0.2,0.2
1106,0.2,0.2
1107,0.2,0.2
1108,0.2,0.2
1109,0.2,0.2
1110,0.2,0.2
1111,0.2,0.4
1112,0.2,0.4
1113,0.2,0.4
1114,0.2,0.2
1115,0.2,0.4
1116,0.2,0.4
1117,0.2,0.2
1119,0.2,0.2
1120,0.2,0.4
1121,0.2,0.2
1122,0.2,0.2
1123,0.2,0.4
1124,0.2,0.2
1125,0.2,0.2
1126,0.2,0.2
1127,0.2,0.2
1128,0.2,0.2
1129,0.2,0.2
1130,0.2,0.2
1131,0.2,0.2
1132,0.2,0.2
1133,0.2,0.2
1134,0.2,0.2
1135,0.2,0.2
1136,0.2,0.2
1137,0.2,0.2
1138,0.2,0.2
1139,0.4,0.4
1140,0.2,0.2
1141,0.2,0.2
1142,0.2,0.2
1143,0.2,0.2
1144,0.2,0.2
1145,0.2,0.2
1147,0,0
1148,0,0
1149,0.4,0.2
1150,0.2,0.2
1151,0.2,0.2
1152,0,0
1153,0,0
1154,0,0
1155,0.2,0.2
1156,0.2,0.2
1157,0,0
1158,0.2,0.2
1159,0.2,0.2
1160,0.2,0.2
1161,0.2,0.2
1162,0.2,0.4
1163,0.2,0.2
1164,0.2,0.2
1165,0.2,0.2
1166,0.2,0.2
1167,0.2,0.2
1169,0.2,0.4
1170,0.4,0.2
1171,0.2,0.2
1172,0.2,0.2
