MarxanID,IgnitionGA25,IgnitionPA25
1162,1.18724E-09,1.18724E-09
1163,1.18724E-09,1.18724E-09
1164,1.18724E-09,1.18724E-09
1165,1.18724E-09,1.18724E-09
1166,1.18724E-09,1.18724E-09
1167,1.18724E-09,1.18724E-09
1169,1.18724E-09,1.18724E-09
1170,1.18724E-09,1.18724E-09
1171,1.18724E-09,1.18724E-09
1172,1.18724E-09,1.18724E-09
1173,1.18724E-09,1.18724E-09
1174,1.18724E-09,1.18724E-09
1175,1.18724E-09,1.18724E-09
1176,1.18724E-09,1.18724E-09
1177,1.18724E-09,1.18724E-09
1178,1.18724E-09,1.18724E-09
1179,1.18724E-09,1.18724E-09
1180,1.18724E-09,1.18724E-09
1181,1.18724E-09,1.18724E-09
1182,1.18724E-09,1.18724E-09
1183,1.18724E-09,1.18724E-09
1184,1.18724E-09,1.18724E-09
1185,1.18724E-09,1.18724E-09
1186,1.18724E-09,1.18724E-09
1187,1.18724E-09,1.18724E-09
1188,1.18724E-09,1.18724E-09
1189,1.18724E-09,1.18724E-09
1190,1.18724E-09,1.18724E-09
1191,1.18724E-09,1.18724E-09
1192,1.18724E-09,1.18724E-09
1193,1.18724E-09,1.18724E-09
1194,1.18724E-09,1.18724E-09
1195,1.18724E-09,1.18724E-09
1196,1.18724E-09,1.18724E-09
1197,1.18724E-09,1.18724E-09
1198,1.18724E-09,1.18724E-09
1199,1.18724E-09,1.18724E-09
1200,1.18724E-09,1.18724E-09
1201,1.18724E-09,1.18724E-09
1202,1.18724E-09,1.18724E-09
1203,1.18724E-09,1.18724E-09
1204,1.18724E-09,1.18724E-09
1205,1.18724E-09,1.18724E-09
1206,1.18724E-09,1.18724E-09
1207,1.18724E-09,1.18724E-09
1208,1.18724E-09,1.18724E-09
1209,1.18724E-09,1.18724E-09
1210,1.18724E-09,1.18724E-09
1211,0.090470401,0.082189677
1212,0.093092729,0.084571989
1213,1.18724E-09,1.18724E-09
1214,1.18724E-09,1.18724E-09
1215,1.18724E-09,1.18724E-09
1216,1.18724E-09,1.18724E-09
1217,1.18724E-09,1.18724E-09
1218,1.18724E-09,1.18724E-09
1219,1.18724E-09,1.18724E-09
1220,1.18724E-09,1.18724E-09
1221,1.18724E-09,1.18724E-09
1222,1.18724E-09,1.18724E-09
1223,1.18724E-09,1.18724E-09
1224,1.18724E-09,1.18724E-09
1225,1.18724E-09,1.18724E-09
1226,1.18724E-09,1.18724E-09
1227,1.18724E-09,1.18724E-09
1228,1.18724E-09,1.18724E-09
1229,1.18724E-09,1.18724E-09
1230,0.092334629,0.08777217
1231,1.18724E-09,1.18724E-09
1232,1.18724E-09,1.18724E-09
1233,1.18724E-09,1.18724E-09
1234,1.18724E-09,1.18724E-09
1235,1.18724E-09,1.18724E-09
1236,1.18724E-09,1.18724E-09
1237,1.18724E-09,1.18724E-09
1238,1.18724E-09,1.18724E-09
1239,1.18724E-09,1.18724E-09
1240,1.18724E-09,1.18724E-09
1241,1.18724E-09,1.18724E-09
1242,1.18724E-09,1.18724E-09
1243,1.18724E-09,1.18724E-09
1244,1.18724E-09,1.18724E-09
1245,1.18724E-09,1.18724E-09
1246,1.18724E-09,1.18724E-09
1247,1.18724E-09,1.18724E-09
1248,0.129123384,0.125917299
1249,0.142408452,0.126134434
1250,0.183121852,0.160219695
1251,0.282365942,0.2554905
1252,0.246641885,0.229743709
1253,0.241553606,0.209167189
1254,0.142408452,0.126134434
1255,0.142408452,0.126134434
1256,0.142408452,0.126134434
1257,0.142408452,0.126134434
1258,0.187666543,0.164219575
1259,4.22497E-05,4.53258E-05
1261,0.142408452,0.126134434
1262,0.142408452,0.126134434
1263,0.184735495,0.161700521
1264,0.142408452,0.126134434
1265,0.165495426,0.145631962
1267,0.145392175,0.128748526
1268,0.142408452,0.126134434
1269,0.12080848,0.11336349
1270,0.192466194,0.168541188
1271,0.194321942,0.169534245
1272,0.142408452,0.126134434
1273,0.158139816,0.139285891
1274,0.142408452,0.126134434
1275,0.142408452,0.126134434
1276,0.189602522,0.165588815
1277,0.189721341,0.16611178
1279,0.12080848,0.11336349
1280,0.12080848,0.11336349
1281,0.12080848,0.11336349
1282,0.12080848,0.11336349
1283,0.12080848,0.11336349
1284,0.183882538,0.16633633
1285,0.183103025,0.166343431
1286,0.180919698,0.163946784
1287,0.186521665,0.169278977
1288,0.184141091,0.167537889
1289,0.177017432,0.155067643
1290,0.210207623,0.183997234
1291,0.247261252,0.229930398
1292,0.218067091,0.188624624
1293,0.217402181,0.189092646
1294,0.221502427,0.191871818
1295,0.213575828,0.186391192
1296,0.203022923,0.186376086
1297,0.218015485,0.188952748
1298,0.142408452,0.126134434
1299,0.142408452,0.126134434
1300,0.142408452,0.126134434
1301,0.142408452,0.126134434
1302,0.187063432,0.170031878
1303,0.18588084,0.169409099
1304,0.131371578,0.116066876
1305,0.142408452,0.126134434
1306,0.142408452,0.126134434
1307,0.142408452,0.126134434
1308,0.133996096,0.118525448
1309,0.216345835,0.187946287
